Word	POS	Level
a	determiner	a1
abandon	verb	b2
ability	noun	a2
able	adjective	a2
abolish	verb	c1
abortion	noun	c1
about	preposition	a1
about	adverb	a1
above	preposition	a1
above	adverb	a1
abroad	adverb	a2
absence	noun	c1
absent	adjective	c1
absolute	adjective	b2
absolutely	adverb	b1
absorb	verb	b2
abstract	adjective	b2
absurd	adjective	c1
abundance	noun	c1
abuse	noun	c1
abuse	verb	c1
academic	adjective	b1
academic	noun	b2
academy	noun	c1
accelerate	verb	c1
accent	noun	b2
accept	verb	a2
acceptable	adjective	b2
acceptance	noun	c1
access	noun	b1
access	verb	b1
accessible	adjective	c1
accident	noun	a2
accidentally	adverb	b2
accommodate	verb	b2
accommodation	noun	b1
accompany	verb	b2
accomplish	verb	b2
accomplishment	noun	c1
accordance	noun	c1
according to	preposition	a2
accordingly	adverb	c1
account	noun	b1
account	verb	b2
accountability	noun	c1
accountable	adjective	c1
accountant	noun	b2
accounting	noun	b2
accumulate	verb	c1
accumulation	noun	c1
accuracy	noun	b2
accurate	adjective	b2
accurately	adverb	b2
accusation	noun	c1
accuse	verb	b2
accused	noun	c1
achieve	verb	a2
achievement	noun	b1
acid	adjective	c1
acid	noun	b2
acknowledge	verb	b2
acquire	verb	b2
acquisition	noun	c1
acre	noun	c1
across	preposition	a1
across	adverb	a1
act	noun	b1
act	verb	a2
action	noun	a1
activate	verb	b2
activation	noun	c1
active	adjective	a2
activist	noun	c1
activity	noun	a1
actor	noun	a1
actress	noun	a1
actual	adjective	b2
actually	adverb	a2
acute	adjective	c1
ad	noun	b1
adapt	verb	b2
adaptation	noun	c1
add	verb	a1
addiction	noun	b2
addition	noun	b1
additional	adjective	b2
additionally	adverb	b2
address	noun	a1
address	verb	b2
adequate	adjective	b2
adequately	adverb	b2
adhere	verb	c1
adjacent	adjective	c1
adjust	verb	b2
adjustment	noun	c1
administer	verb	c1
administration	noun	b2
administrative	adjective	c1
administrator	noun	c1
admire	verb	b1
admission	noun	c1
admit	verb	b1
adolescent	noun	c1
adopt	verb	b2
adoption	noun	c1
adult	adjective	a2
adult	noun	a1
advance	adjective	b2
advance	noun	b2
advance	verb	b2
advanced	adjective	b1
advantage	noun	a2
adventure	noun	a2
adverse	adjective	c1
advertise	verb	a2
advertisement	noun	a2
advertising	noun	a2
advice	noun	a1
advise	verb	b1
advocate	noun	c1
advocate	verb	c1
aesthetic	adjective	c1
affair	noun	b2
affect	verb	a2
affection	noun	c1
afford	verb	b1
affordable	adjective	b2
afraid	adjective	a1
after	conjunction	a2
after	preposition	a1
after	adverb	a2
aftermath	noun	c1
afternoon	noun	a1
afterwards	adverb	b2
again	adverb	a1
against	preposition	a2
age	noun	a1
age	verb	b1
aged	adjective	b1
agency	noun	b2
agenda	noun	b2
agent	noun	b1
aggression	noun	c1
aggressive	adjective	b2
ago	adverb	a1
agree	verb	a1
agreement	noun	b1
agricultural	adjective	c1
agriculture	noun	b2
ah	exclamation	a2
ahead	adverb	b1
aid	noun	b2
aid	verb	b2
aide	noun	c1
AIDS	noun	b2
aim	noun	b1
aim	verb	b1
air	noun	a1
aircraft	noun	b2
airline	noun	a2
airport	noun	a1
alarm	noun	b1
alarm	verb	b2
albeit	conjunction	c1
album	noun	b1
alcohol	noun	b1
alcoholic	adjective	b1
alert	adjective	c1
alert	noun	c1
alert	verb	c1
alien	adjective	c1
alien	noun	b2
align	verb	c1
alignment	noun	c1
alike	adjective	c1
alike	adverb	c1
alive	adjective	a2
all	determiner	a1
all	pronoun	a1
all	adverb	a2
all right	adjective	a2
all right	adverb	a2
all right	exclamation	a2
allegation	noun	c1
allege	verb	c1
allegedly	adverb	c1
alliance	noun	c1
allocate	verb	c1
allocation	noun	c1
allow	verb	a2
allowance	noun	c1
ally	noun	c1
almost	adverb	a2
alone	adjective	a2
alone	adverb	a2
along	preposition	a2
along	adverb	a2
alongside	preposition	b2
already	adverb	a2
also	adverb	a1
alter	verb	b2
alternative	adjective	b1
alternative	noun	a2
although	conjunction	a2
altogether	adverb	b2
aluminium	noun	c1
always	adverb	a1
amateur	adjective	c1
amateur	noun	c1
amazed	adjective	b1
amazing	adjective	a1
ambassador	noun	c1
ambition	noun	b1
ambitious	adjective	b1
ambulance	noun	b2
amend	verb	c1
amendment	noun	c1
amid	preposition	c1
among	preposition	a2
amount	noun	a2
amount	verb	b2
amusing	adjective	b2
analogy	noun	c1
analyse	verb	b1
analysis	noun	b1
analyst	noun	b2
ancestor	noun	b2
anchor	noun	c1
ancient	adjective	a2
and	conjunction	a1
angel	noun	c1
anger	noun	b2
angle	noun	b2
angrily	adverb	a2
angry	adjective	a1
animal	noun	a1
animation	noun	b2
ankle	noun	a2
anniversary	noun	b2
announce	verb	b1
announcement	noun	b1
annoy	verb	b1
annoyed	adjective	b1
annoying	adjective	b1
annual	adjective	b2
annually	adverb	b2
anonymous	adjective	c1
another	determiner	a1
another	pronoun	a1
answer	noun	a1
answer	verb	a1
anticipate	verb	b2
anxiety	noun	b2
anxious	adjective	b2
any	determiner	a1
any	pronoun	a1
any	adverb	a2
any more	adverb	a2
anybody	pronoun	a2
anyone	pronoun	a1
anything	pronoun	a1
anyway	adverb	a2
anywhere	pronoun	a2
anywhere	adverb	a2
apart	adverb	b1
apartment	noun	a1
apologize	verb	b1
apology	noun	b2
app	noun	a2
apparatus	noun	c1
apparent	adjective	b2
apparently	adverb	b2
appeal	noun	b2
appeal	verb	b2
appealing	adjective	c1
appear	verb	a2
appearance	noun	a2
appetite	noun	c1
applaud	verb	c1
apple	noun	a1
applicable	adjective	c1
applicant	noun	b2
application	noun	b1
apply	verb	a2
appoint	verb	c1
appointment	noun	b1
appreciate	verb	b1
appreciation	noun	c1
approach	noun	b2
approach	verb	b2
appropriate	adjective	b2
appropriately	adverb	b2
approval	noun	b2
approve	verb	b2
approximately	adverb	b1
April	noun	a1
arbitrary	adjective	c1
architect	noun	a2
architectural	adjective	c1
architecture	noun	a2
archive	noun	c1
area	noun	a1
arena	noun	c1
arguably	adverb	c1
argue	verb	a2
argument	noun	a2
arise	verb	b2
arm	noun	a1
arm	verb	c1
armed	adjective	b2
arms	noun	b2
army	noun	a2
around	preposition	a1
around	adverb	a1
arrange	verb	a2
arrangement	noun	a2
array	noun	c1
arrest	noun	b1
arrest	verb	b1
arrival	noun	b1
arrive	verb	a1
arrow	noun	b2
art	noun	a1
article	noun	a1
articulate	verb	c1
artificial	adjective	b2
artist	noun	a1
artistic	adjective	b2
artwork	noun	b2
as	conjunction	a2
as	preposition	a1
as	adverb	a2
ash	noun	c1
ashamed	adjective	b2
aside	adverb	b2
ask	verb	a1
asleep	adjective	a2
aspect	noun	b2
aspiration	noun	c1
aspire	verb	c1
assassination	noun	c1
assault	noun	c1
assault	verb	c1
assemble	verb	c1
assembly	noun	c1
assert	verb	c1
assertion	noun	c1
assess	verb	b2
assessment	noun	b2
asset	noun	b2
assign	verb	b2
assignment	noun	b1
assist	verb	b1
assistance	noun	b2
assistant	noun	a2
assistant	adjective	a2
associate	verb	b2
associated	adjective	b2
association	noun	b2
assume	verb	b2
assumption	noun	b2
assurance	noun	c1
assure	verb	b2
astonishing	adjective	b2
asylum	noun	c1
at	preposition	a1
athlete	noun	a2
atmosphere	noun	b1
atrocity	noun	c1
attach	verb	b1
attachment	noun	b2
attack	noun	a2
attack	verb	a2
attain	verb	c1
attempt	noun	b2
attempt	verb	b2
attend	verb	a2
attendance	noun	c1
attention	noun	a2
attention	exclamation	a2
attitude	noun	b1
attorney	noun	c1
attract	verb	b1
attraction	noun	b1
attractive	adjective	a2
attribute	noun	c1
attribute	verb	c1
auction	noun	b2
audience	noun	a2
audio	adjective	b2
audit	noun	c1
August	noun	a1
aunt	noun	a1
authentic	adjective	c1
author	noun	a2
authority	noun	b1
authorize	verb	c1
auto	noun	c1
automatic	adjective	b2
automatically	adverb	b2
autonomy	noun	c1
autumn	noun	a1
availability	noun	c1
available	adjective	a2
average	adjective	a2
average	noun	a2
average	verb	b1
avoid	verb	a2
await	verb	c1
award	noun	a2
award	verb	b1
aware	adjective	b1
awareness	noun	b2
away	adverb	a1
awful	adjective	a2
awkward	adjective	b2
baby	noun	a1
back	adjective	a2
back	noun	a1
back	adverb	a1
back	verb	b2
backdrop	noun	c1
background	noun	a2
backing	noun	c1
backup	noun	c1
backwards	adverb	b1
bacteria	noun	b2
bad	adjective	a1
badge	noun	b2
badly	adverb	a2
bag	noun	a1
bail	noun	c1
bake	verb	b1
balance	noun	b1
balance	verb	b1
balanced	adjective	b2
ball	noun	a1
ballet	noun	b2
balloon	noun	b2
ballot	noun	c1
ban	noun	b1
ban	verb	b1
banana	noun	a1
band	noun	a1
bank	noun	a1
banner	noun	c1
bar	noun	a2
bar	verb	b2
bare	adjective	c1
barely	adverb	b2
bargain	noun	b2
barrel	noun	c1
barrier	noun	b2
base	noun	b1
base	verb	b1
baseball	noun	a2
based	adjective	a2
basement	noun	b2
basic	adjective	b1
basically	adverb	b2
basis	noun	b1
basket	noun	b2
basketball	noun	a2
bass	noun	c1
bat	noun	b2
bat	verb	c1
bath	noun	a1
bathroom	noun	a1
battery	noun	b1
battle	noun	b1
battle	verb	b2
battlefield	noun	c1
bay	noun	c1
be	verb	a1
be	auxiliary verb	a1
beach	noun	a1
beam	noun	c1
bean	noun	a2
bear	noun	a2
bear	verb	b2
beast	noun	c1
beat	noun	b2
beat	verb	a2
beautiful	adjective	a1
beauty	noun	b1
because	conjunction	a1
become	verb	a1
bed	noun	a1
bedroom	noun	a1
bee	noun	b1
beef	noun	a2
beer	noun	a1
before	conjunction	a2
before	preposition	a1
before	adverb	a2
beg	verb	b2
begin	verb	a1
beginning	noun	a1
behalf	noun	c1
behave	verb	a2
behaviour	noun	a2
behind	preposition	a1
behind	adverb	a1
being	noun	b2
belief	noun	b1
believe	verb	a1
bell	noun	b1
belong	verb	a2
beloved	adjective	c1
below	preposition	a1
below	adverb	a1
belt	noun	a2
bench	noun	c1
benchmark	noun	c1
bend	noun	b1
bend	verb	b1
beneath	preposition	c1
beneficial	adjective	b2
beneficiary	noun	c1
benefit	noun	a2
benefit	verb	b1
bent	adjective	b2
beside	preposition	b2
besides	preposition	b2
besides	adverb	b2
best	adjective	a1
best	noun	a2
best	adverb	a2
bet	noun	b2
bet	verb	b2
betray	verb	c1
better	adjective	a1
better	noun	b1
better	adverb	a2
between	preposition	a1
between	adverb	a2
beyond	preposition	b2
beyond	adverb	b2
bias	noun	b2
bicycle	noun	a1
bid	noun	b2
bid	verb	b2
big	adjective	a1
bike	noun	a1
bill	noun	a1
bill	verb	b2
billion	number	a2
bin	noun	a2
bind	verb	c1
biography	noun	c1
biological	adjective	b2
biology	noun	a2
bird	noun	a1
birth	noun	a2
birthday	noun	a1
biscuit	noun	a2
bishop	noun	c1
bit	noun	a2
bite	noun	b1
bite	verb	b1
bitter	adjective	b2
bizarre	adjective	c1
black	adjective	a1
black	noun	a1
blade	noun	c1
blame	noun	b2
blame	verb	b2
blank	adjective	a2
blank	noun	a2
blanket	noun	b2
blast	noun	c1
blast	verb	c1
bleed	verb	c1
blend	verb	c1
bless	verb	c1
blessing	noun	c1
blind	adjective	b2
block	noun	b1
block	verb	b1
blog	noun	a1
blonde	adjective	a1
blood	noun	a2
blow	noun	b2
blow	verb	a2
blue	adjective	a1
blue	noun	a1
board	noun	a2
board	verb	b1
boast	verb	c1
boat	noun	a1
body	noun	a1
boil	verb	a2
bold	adjective	b2
bomb	noun	b1
bomb	verb	b1
bombing	noun	b2
bond	noun	b2
bone	noun	a2
bonus	noun	c1
book	noun	a1
book	verb	a2
booking	noun	b2
boom	noun	c1
boost	noun	b2
boost	verb	b2
boot	noun	a1
border	noun	b1
border	verb	b2
bored	adjective	a1
boring	adjective	a1
born	verb	a1
borrow	verb	a2
boss	noun	a2
both	determiner	a1
both	pronoun	a1
bother	verb	b1
bottle	noun	a1
bottom	adjective	a2
bottom	noun	a2
bounce	verb	c1
bound	adjective	b2
boundary	noun	c1
bow	noun	c1
bow	verb	c1
bowl	noun	a2
box	noun	a1
boy	noun	a1
boyfriend	noun	a1
brain	noun	a2
branch	noun	b1
brand	noun	b1
brand	verb	b1
brave	adjective	b1
breach	noun	c1
breach	verb	c1
bread	noun	a1
break	noun	a1
break	verb	a1
breakdown	noun	c1
breakfast	noun	a1
breakthrough	noun	c1
breast	noun	b2
breath	noun	b1
breathe	verb	b1
breathing	noun	b1
breed	noun	c1
breed	verb	c1
brick	noun	b2
bride	noun	b1
bridge	noun	a2
brief	adjective	b2
briefly	adverb	b2
bright	adjective	a2
brilliant	adjective	a2
bring	verb	a1
broad	adjective	b2
broadband	noun	c1
broadcast	noun	b2
broadcast	verb	b2
broadcaster	noun	b2
broadly	adverb	b2
broken	adjective	a2
brother	noun	a1
brown	adjective	a1
brown	noun	a1
browser	noun	c1
brush	noun	a2
brush	verb	a2
brutal	adjective	c1
bubble	noun	b1
buck	noun	c1
buddy	noun	c1
budget	noun	b2
buffer	noun	c1
bug	noun	b2
build	verb	a1
building	noun	a1
bulk	noun	c1
bullet	noun	b2
bunch	noun	b2
burden	noun	c1
bureaucracy	noun	c1
burial	noun	c1
burn	noun	b2
burn	verb	a2
burst	verb	c1
bury	verb	b1
bus	noun	a1
bush	noun	b2
business	noun	a1
businessman	noun	a2
busy	adjective	a1
but	conjunction	a1
but	preposition	b2
butter	noun	a1
button	noun	a2
buy	verb	a1
by	preposition	a1
by	adverb	b1
bye	exclamation	a1
cabin	noun	b2
cabinet	noun	c1
cable	noun	b2
cafe	noun	a1
cake	noun	a1
calculate	verb	b2
calculation	noun	c1
call	noun	a1
call	verb	a1
calm	adjective	b1
calm	noun	b1
calm	verb	b1
camera	noun	a1
camp	noun	a2
camp	verb	a2
campaign	noun	b1
campaign	verb	b1
camping	noun	a2
campus	noun	b1
can	modal verb	a1
can	noun	a2
canal	noun	b2
cancel	verb	b2
cancer	noun	b2
candidate	noun	b1
candle	noun	b2
cannot	verb	a1
canvas	noun	c1
cap	noun	b1
capability	noun	c1
capable	adjective	b2
capacity	noun	b2
capital	adjective	a1
capital	noun	a1
capitalism	noun	c1
capitalist	adjective	c1
captain	noun	b1
capture	noun	b2
capture	verb	b2
car	noun	a1
carbon	noun	b2
card	noun	a1
care	noun	a2
care	verb	a2
career	noun	a1
careful	adjective	a2
carefully	adverb	a2
careless	adjective	b1
cargo	noun	c1
carpet	noun	a2
carriage	noun	c1
carrot	noun	a1
carry	verb	a1
cartoon	noun	a2
carve	verb	c1
case	noun	a2
cash	noun	a2
casino	noun	c1
cast	noun	b2
cast	verb	b2
castle	noun	a2
casual	adjective	b2
casualty	noun	c1
cat	noun	a1
catalogue	noun	c1
catch	noun	b2
catch	verb	a2
category	noun	b1
cater	verb	c1
cattle	noun	c1
cause	noun	a2
cause	verb	a2
caution	noun	c1
cautious	adjective	c1
cave	noun	b2
CD	noun	a1
cease	verb	c1
ceiling	noun	b1
celebrate	verb	a2
celebration	noun	b1
celebrity	noun	a2
cell	noun	b2
cemetery	noun	c1
cent	noun	a1
central	adjective	b1
centre	noun	a1
centre	verb	b1
century	noun	a1
ceremony	noun	b1
certain	adjective	a2
certainly	adverb	a2
certainty	noun	b2
certificate	noun	b2
chain	noun	b1
chain	verb	b2
chair	noun	a1
chair	verb	b2
chairman	noun	b2
challenge	noun	b1
challenge	verb	b2
challenging	adjective	b2
chamber	noun	c1
champion	noun	b1
championship	noun	b2
chance	noun	a2
change	noun	a1
change	verb	a1
channel	noun	b1
chaos	noun	c1
chapter	noun	b1
character	noun	a2
characteristic	adjective	b2
characteristic	noun	b2
characterize	verb	c1
charge	noun	b1
charge	verb	b1
charity	noun	a2
charm	noun	c1
charming	adjective	b2
chart	noun	a1
chart	verb	b2
charter	noun	c1
chase	noun	b2
chase	verb	b2
chat	noun	a2
chat	verb	a2
cheap	adjective	a1
cheap	adverb	b1
cheat	noun	b1
cheat	verb	b1
check	noun	a2
check	verb	a1
cheek	noun	b2
cheer	noun	b2
cheer	verb	b2
cheerful	adjective	b1
cheese	noun	a1
chef	noun	a2
chemical	adjective	b1
chemical	noun	b1
chemistry	noun	a2
chest	noun	b1
chicken	noun	a1
chief	adjective	b2
chief	noun	b2
child	noun	a1
childhood	noun	b1
chip	noun	a2
chocolate	noun	a1
choice	noun	a2
choir	noun	b2
choose	verb	a1
chop	verb	b2
chronic	adjective	c1
chunk	noun	c1
church	noun	a2
cigarette	noun	a2
cinema	noun	a1
circle	noun	a2
circle	verb	a2
circuit	noun	b2
circulate	verb	c1
circulation	noun	c1
circumstance	noun	b2
cite	verb	b2
citizen	noun	b2
citizenship	noun	c1
city	noun	a1
civic	adjective	c1
civil	adjective	b2
civilian	adjective	c1
civilian	noun	c1
civilization	noun	b2
claim	noun	b1
claim	verb	b1
clarify	verb	b2
clarity	noun	c1
clash	noun	c1
class	noun	a1
classic	adjective	b2
classic	noun	b2
classical	adjective	a2
classification	noun	c1
classify	verb	b2
classroom	noun	a1
clause	noun	b1
clean	adjective	a1
clean	verb	a1
cleaning	noun	b2
clear	adjective	a2
clear	verb	b1
clearly	adverb	a2
clerk	noun	b2
clever	adjective	a2
click	noun	b1
click	verb	b1
client	noun	b1
cliff	noun	b2
climate	noun	a2
climb	noun	b1
climb	verb	a1
cling	verb	c1
clinic	noun	b2
clinical	adjective	c1
clip	noun	b2
clock	noun	a1
close	adjective	a2
close	noun	b2
close	adverb	b1
close	verb	a1
closed	adjective	a2
closely	adverb	b2
closure	noun	c1
cloth	noun	b1
clothes	noun	a1
clothing	noun	a2
cloud	noun	a2
club	noun	a1
clue	noun	b1
cluster	noun	c1
coach	noun	a2
coach	verb	b1
coal	noun	b1
coalition	noun	c1
coast	noun	a2
coastal	adjective	c1
coat	noun	a1
cocktail	noun	c1
code	noun	a2
coffee	noun	a1
cognitive	adjective	c1
coin	noun	b1
coincide	verb	c1
coincidence	noun	b2
cold	adjective	a1
cold	noun	a1
collaborate	verb	c1
collaboration	noun	c1
collapse	noun	b2
collapse	verb	b2
colleague	noun	a2
collect	verb	a2
collection	noun	b1
collective	adjective	c1
collector	noun	b2
college	noun	a1
collision	noun	c1
colonial	adjective	c1
colony	noun	b2
colour	noun	a1
coloured	adjective	b1
colourful	adjective	b2
column	noun	a2
columnist	noun	c1
combat	noun	c1
combat	verb	c1
combination	noun	b2
combine	verb	b1
come	verb	a1
comedy	noun	a2
comfort	noun	b2
comfort	verb	b2
comfortable	adjective	a2
comic	adjective	b2
comic	noun	b2
command	noun	b2
command	verb	b2
commander	noun	b2
commence	verb	c1
comment	noun	a2
comment	verb	b1
commentary	noun	c1
commentator	noun	c1
commerce	noun	c1
commercial	adjective	b1
commercial	noun	b1
commission	noun	b2
commission	verb	b2
commissioner	noun	c1
commit	verb	b1
commitment	noun	b2
committee	noun	b2
commodity	noun	c1
common	adjective	a1
commonly	adverb	b2
communicate	verb	a2
communication	noun	b1
communist	adjective	c1
community	noun	a2
companion	noun	c1
company	noun	a1
comparable	adjective	c1
comparative	adjective	b2
compare	verb	a1
comparison	noun	b1
compassion	noun	c1
compel	verb	c1
compelling	adjective	c1
compensate	verb	c1
compensation	noun	c1
compete	verb	a2
competence	noun	c1
competent	adjective	c1
competition	noun	a2
competitive	adjective	b1
competitor	noun	b1
compile	verb	c1
complain	verb	a2
complaint	noun	b1
complement	verb	c1
complete	adjective	a1
complete	verb	a1
completely	adverb	a2
completion	noun	b2
complex	adjective	b1
complex	noun	b2
complexity	noun	c1
compliance	noun	c1
complicated	adjective	b2
complication	noun	c1
comply	verb	c1
component	noun	b2
compose	verb	b2
composer	noun	b2
composition	noun	c1
compound	noun	b2
comprehensive	adjective	b2
comprise	verb	b2
compromise	noun	c1
compromise	verb	c1
compulsory	adjective	b2
compute	verb	c1
computer	noun	a1
conceal	verb	c1
concede	verb	c1
conceive	verb	c1
concentrate	verb	b1
concentration	noun	b2
concept	noun	b2
conception	noun	c1
concern	noun	b2
concern	verb	b2
concerned	adjective	b2
concert	noun	a1
concession	noun	c1
conclude	verb	b1
conclusion	noun	b1
concrete	adjective	b2
concrete	noun	b2
condemn	verb	c1
condition	noun	a2
conduct	noun	b2
conduct	verb	b2
confer	verb	c1
conference	noun	a2
confess	verb	b2
confession	noun	c1
confidence	noun	b2
confident	adjective	b1
configuration	noun	c1
confine	verb	c1
confirm	verb	b1
confirmation	noun	c1
conflict	noun	b2
conflict	verb	b2
confront	verb	c1
confrontation	noun	c1
confuse	verb	b1
confused	adjective	b1
confusing	adjective	b2
confusion	noun	b2
congratulate	verb	c1
congregation	noun	c1
congressional	adjective	c1
connect	verb	a2
connected	adjective	a2
connection	noun	b1
conquer	verb	c1
conscience	noun	c1
conscious	adjective	b2
consciousness	noun	c1
consecutive	adjective	c1
consensus	noun	c1
consent	noun	c1
consequence	noun	b1
consequently	adverb	b2
conservation	noun	b2
conservative	adjective	b2
conservative	noun	b2
conserve	verb	c1
consider	verb	a2
considerable	adjective	b2
considerably	adverb	b2
consideration	noun	b2
consist	verb	b1
consistency	noun	c1
consistent	adjective	b2
consistently	adverb	b2
consolidate	verb	c1
conspiracy	noun	b2
constant	adjective	b2
constantly	adverb	b2
constituency	noun	c1
constitute	verb	c1
constitution	noun	c1
constitutional	adjective	c1
constraint	noun	c1
construct	verb	b2
construction	noun	b2
consult	verb	b2
consultant	noun	b2
consultation	noun	c1
consume	verb	b1
consumer	noun	b1
consumption	noun	b2
contact	noun	b1
contact	verb	b1
contain	verb	a2
container	noun	b1
contemplate	verb	c1
contemporary	adjective	b2
contempt	noun	c1
contend	verb	c1
contender	noun	c1
content	adjective	c1
content	noun	b1
contention	noun	c1
contest	noun	b2
contest	verb	b2
context	noun	a2
continent	noun	a2
continually	adverb	c1
continue	verb	a2
continuous	adjective	b1
contract	noun	b2
contract	verb	b2
contractor	noun	c1
contradiction	noun	c1
contrary	adjective	c1
contrary	noun	c1
contrast	noun	b1
contrast	verb	b1
contribute	verb	b2
contribution	noun	b2
contributor	noun	c1
control	noun	a2
control	verb	a2
controversial	adjective	b2
controversy	noun	b2
convenience	noun	b2
convenient	adjective	b1
convention	noun	b2
conventional	adjective	b2
conversation	noun	a1
conversion	noun	c1
convert	verb	b2
convey	verb	b2
convict	verb	c1
conviction	noun	c1
convince	verb	b1
convinced	adjective	b2
convincing	adjective	b2
cook	noun	a2
cook	verb	a1
cooker	noun	a2
